strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
IP557	1963	Kurdistan	36.40034	44.377195	Third Pandemic	This Study
IP562	1947	Kurdistan	36.40034	44.377195	Third Pandemic	This Study
IP579	1908	India	20.583684	78.95288	Third Pandemic	This Study
IP583	1994	India	20.583684	78.95288	Third Pandemic	This Study
IP674	1952	Turkey	38.963745	35.243322	Third Pandemic	Unused
J1963002	1963	"Gansu, China"	35.72	105.08	Third Pandemic	Used
J1978002	1978	"Ningxia, China"	36.56	105.64	Third Pandemic	Used
Java (D88)	Missing	"Java, Indonesia"	-7.614529	110.712246	Third Pandemic	Unused
Java9	Missing	Indonesia	-0.789275	113.921327	Third Pandemic	Unused
K11973002	1973	"Xinjiang, China"	37.12	79.94	Third Pandemic	Used
K1973002	1991	"China, Cangyuan County"	23.146712	99.246196	Third Pandemic	Unused
K21985002	1985	"Xinjiang, China"	39	88.1	Third Pandemic	Used
KIM10+	1968	Iran/Kurdistan	35.955358	47.136213	Third Pandemic	Used
KIM5	2007	USA: Kentucky	37.839333	-84.270018	Third Pandemic	Used
KM-816	1990	Turkmenistan: Balkany	41.000137	55.666887	Third Pandemic	Unused
KM918	1989	"Russia: Kabardino-Balkaria, Gizhgit Natural Boundary"	43.47001	42.99279	Third Pandemic	Unused
KUMA (D11)	Missing	China: Manchuria	45.323359	124.490099	Third Pandemic	Unused
KunilaII	-2477	"Estonia, Kunila"	58.619533	23.82755	Stone Age/Bronze Age	Used
M0000002	2001	"Qinghai, China"	33.35	97.12	Third Pandemic	Used
M-1453	1991	"Kazakhstan: Guryev region, Makhambet district"	47.636863	51.703162	Third Pandemic	Unused
M-1484	1992	Russia	61.52401	105.318756	Third Pandemic	Unused
M-1763	2002	"Russia: Astrakhan region, Krasnoyarsk District"	46.358805	48.059935	Third Pandemic	Unused
M-1864	2009	"Russia: Kalmykia, Lagansky District"	45.217463	47.062677	Third Pandemic	Unused
