strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
PY-88	2010	Peru:Pacasmayo			missing	Peru:Pacasmayo	-7.404005	-79.565078	-7.404005	-79.565078
PY-89	2010	Peru:Pacasmayo			missing	Peru:Pacasmayo	-7.404005	-79.565078	-7.404005	-79.565078
PY-90	2010	Peru:Pacasmayo			missing	Peru:Pacasmayo	-7.404005	-79.565078	-7.404005	-79.565078
PY-91	2010	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-92	2010	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-93	2010	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-94	2010	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-95	2010	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-96	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-98	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-99	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-02	2006	Peru:Jaen			missing	Peru:Jaen	-5.709441	-78.798618	-5.709441	-78.798618
PY-01	2006	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
AS200901156	6/10/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
AS200901434	6/30/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
AS200901509	7/7/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
AS200901539	7/9/2009	"Las Vegas, NM"				"Las Vegas, NM"	35.594214	-105.222798	35.594214	-105.222798
BA200901703	6/10/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
BA200901799	6/17/2009	"Sante Fe, NM"				"Sante Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
BA200901990	7/8/2009	"Edgewood, NM"				"Edgewood, NM"	35.061436	-106.191414	35.061436	-106.191414
BA200902009	7/10/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
AS200902147	8/14/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
53/91	1991	"Mahajanga, Madagascar"			"46.31395349, -15.71171171"	"Mahajanga, Madagascar"	-15.692149	46.333686	-15.71171171	46.31395349
64/91	1991	"Mahajanga, Madagascar"			"46.31395349, -15.71171171"	"Mahajanga, Madagascar"	-15.692149	46.333686	-15.71171171	46.31395349
154/98 B	1998	"Mahajanga, Madagascar"			"46.31395349, -15.71171171"	"Mahajanga, Madagascar"	-15.692149	46.333686	-15.71171171	46.31395349
17/99 B	1999	"Mahajanga, Madagascar"			"46.31395349, -15.71171171"	"Mahajanga, Madagascar"	-15.692149	46.333686	-15.71171171	46.31395349
G1670	1979	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
G1670E	1979	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
G3768	1983	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
G1670A	1979	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
4139	1995	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
1866		USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
8607116		USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
KUMA (D11)		China: Manchuria				China: Manchuria	45.323359	124.490099	45.323359	124.490099
Java (D88)		"Java, Indonesia"				"Java, Indonesia"	-7.614529	110.712246	-7.614529	110.712246
1901b	1983	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
4954	1987	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
4412	1991	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
2965	1995	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
2055	1998	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
2106	2001	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
2772	1984	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
3357	1999	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
AS 2509	2004	USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
AS 200900596	2009	USA				USA	37.09024	-95.712891	37.09024	-95.712891
V-6486		USA: NM				USA: NM	34.51994	-105.87009	34.51994	-105.87009
AS200901509	7/7/2009	"Santa Fe, NM"				"Santa Fe, NM"	35.686975	-105.937799	35.686975	-105.937799
EBD10-058	01-Jul-10	"Canada: Grasslands National Park, Saskatchewan"			missing	"Canada: Grasslands National Park, Saskatchewan"	49.128598	-107.425616	49.128598	-107.425616
2501	2005	"China: Junggar Basin, Xinjiang"				"China: Junggar Basin, Xinjiang"	40.546044	81.292087	40.546044	81.292087
M0000002	2001	"Qinghai, China"	33.35	97.12		"Qinghai, China"	35.744798	96.407736	33.35	97.12
CA88-4125	1988	"California, USA"	NA	NA		"California, USA"	36.778261	-119.417932	36.778261	-119.417932
Pestoides A	NA	Kazakhstan	NA	NA		Kazakhstan	48.019573	66.923684	48.019573	66.923684
INS	10-Jul	Peru				Peru	-9.189967	-75.015152	-9.189967	-75.015152
IP275	1995	Madagascar	NA	NA		Madagascar	-18.766947	46.869107	-18.766947	46.869107
F1991016	1991	"Yunnan, China"	23.15	99.24		"Yunnan, China"	24.475285	101.343106	23.15	99.24
E1979001	1979	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
B42003004	2003	"Xinjiang, China"	44.95	81.08		"Xinjiang, China"	42.524636	87.539585	44.95	81.08
K1973002	1991	"China, Cangyuan County"				"China, Cangyuan County"	23.146712	99.246196	23.146712	99.246196
MG05-1020	2005	Madagascar	NA	NA		Madagascar	-18.766947	46.869107	-18.766947	46.869107
UG05-0454	2004	Uganda	NA	NA		Uganda	1.373333	32.290275	1.373333	32.290275
FV-1	2001	USA				USA	37.09024	-95.712891	37.09024	-95.712891
A120_LP05	435-631	"Germany, Ascheim"				"Germany, Ascheim"	48.17231	11.71591	48.17231	11.71591
A76_LP07	443-566	"Germany, Ascheim"				"Germany, Ascheim"	48.17231	11.71591	48.17231	11.71591
S3	2002	India: Shimla				India: Shimla	31.104815	77.173403	31.104815	77.173403
9	2004	"Qinghai, China"	33.35	97.12		"Qinghai, China"	35.744798	96.407736	33.35	97.12
113	1994	India: Surat				India: Surat	21.17024	72.831061	21.17024	72.831061
24H	1998	India: Hosur				India: Hosur	12.740913	77.825292	12.740913	77.825292
Antiqua	1965	Congo	NA	NA		Congo	-4.038333	21.758664	-4.038333	21.758664
