strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
PY-66	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
PY-71	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-72	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-76	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-88	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	No	3	0
PY-89	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	No	3	0
PY-90	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	No	3	0
PY-91	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-92	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-93	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-94	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-95	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-96	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-98	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-99	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
RISE00	-2462	"Estonia, Sope"	59.408	27.026	Stone Age/Bronze Age	Yes	1	1
RISE139	-2029	"Poland, Chociwel"	50.796	17.094	Stone Age/Bronze Age	Yes	1	1
RISE386	-2163.5	"Russia, Bulanovo"	52.453	55.16	Stone Age/Bronze Age	Yes	1	1
RISE397	-966.5	"Armenia, Kapan"	39.2	46.4	Stone Age/Bronze Age	Yes	1	1
RISE505	-1686	"Russia, Kytmanovo"	53.456	85.447	Stone Age/Bronze Age	Yes	1	1
RISE509	-2782	"Russia, Afanasievo Gora"	54.584	90.775	Stone Age/Bronze Age	Yes	2	1
RISE511	-2794	"Russia, Afanasievo Gora"	54.584	90.775	Stone Age/Bronze Age	Yes	2	1
RK1001	-2770	"Russia, Rasshevatskaya"	45.569582	41.030903	Stone Age/Bronze Age	Yes	1	1
S3	2002	India: Shimla	31.104815	77.173403	Third Pandemic	No	1	0
SCPM-O-B-4470	1971	Tajikistan	38.861034	71.276093	Third Pandemic	No	2	0
SCPM-O-B-4664	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	No	6	0
SCPM-O-B-6176	1984	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-6213	1972	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	No	5	0
